name,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,final cluster
Adriano,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Juanfran,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bacary Sagna,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mário Fernandes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Pontus Wernbloom,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Georginio Wijnaldum,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Georgi Schennikov,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Nélson Semedo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Moussa Sissoko,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Davy Pröpper,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Gabriel Mercado,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Michael Lang,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Djibril Sidibé,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lucas Digne,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Maxi Pereira,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Filipe Luis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Eliseu,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Elseid Hysaj,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ismaily,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Santiago Arias,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Rafael,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
André Almeida,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Juan Bernat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Taras Stepanenko,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Andrea Raggi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Joshua Brenet,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alex Sandro,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Sergio Escudero,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Aleksandr Golovin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
