name,PC1,PC2,cluster
Daley Blind,-3.1576366504793465,0.5967011786716723,0
Bacary Sagna,-3.8177681191155743,-0.558618536581532,0
Marcelo,-1.601554867537704,1.4172173078578056,0
Kyle Walker,-3.4504196142497956,1.159303179355962,0
Layvin Kurzawa,-0.4655662596671864,-1.3830857404489778,0
Ashley Young,-1.5191044254991803,0.4673058791745468,0
Kieran Trippier,-0.6890828018957705,3.647578143230155,0
Davy Pröpper,-0.30300650999475737,-0.6289566997484338,0
Sami Khedira,-0.5495001018908761,-1.5045714129378207,0
David Alaba,-1.4513200371396209,1.1004218651415092,0
Eliseu,-1.9429645796138935,-0.9912661905614853,0
Andrew Robertson,-1.988739613031781,0.5719706076507842,0
Marcel Schmelzer,-1.7972793205944826,1.3350535539535424,0
Sergiy Rybalka,-1.5980737946562058,1.5797517217535801,0
Juanfran,-1.0080941626124549,-0.2331727773376996,0
Jesús Navas,0.8037975198458388,1.3493686753121776,0
João Moutinho,-0.7443823998726709,2.240811843098289,0
Trent Alexander-Arnold,-0.6879592105281139,1.8302905445229687,0
?ukasz Piszczek,-2.9474388688073367,-0.09146566147723671,0
Miguel Layún,0.9549377350774481,1.7328805148848851,0
Alex Telles,-0.020466242582965435,0.6267440033042408,0
Maxwell,-3.321905516667391,-0.0783068431121665,0
Alessandro Florenzi,-1.071548216313457,-0.5594595184572736,0
Jordan Henderson,-2.1065759209615837,1.2288297616938353,0
Aleksandar Kolarov,-0.5903550557970787,1.4757577291821677,0
Jordi Alba,-1.9019875727849707,2.5264227049289225,0
Faouzi Ghoulam,-1.2386037856804408,1.6517884185304341,0
Michael Lang,-0.07439405976289852,-2.7393688966582626,0
Andrea Raggi,-3.3150737076496264,-2.727485006445153,0
Ben Davies,-2.11212746897042,-0.159568389793308,0
David Silva,2.484628264366691,3.09171496338315,1
Pablo Sarabia,3.890456064885626,1.0454457742641385,1
Marco Asensio,4.78901791295914,2.9210959122320688,1
Radja Nainggolan,1.793235100126237,0.2726196895404871,1
Pizzi,-0.2748293611093158,4.320156669765915,1
Dani Alves,1.0726402916147502,5.099737532433234,1
Mario Götze,2.859159873671689,2.481432390310897,1
Miralem Pjani?,0.842638539959927,3.468695347656362,1
Éver Banega,1.8022681165617305,8.821826532550581,1
Raphaël Guerreiro,2.478811408739209,1.7623646276182083,1
José Callejón,2.3625324183627936,-0.33082963428940254,1
Christian Eriksen,3.463729246835589,2.7634821383938517,1
Corentin Tolisso,2.0498176877863035,0.8294378525308337,1
Alan Dzagoev,2.6254657204603102,0.1109001703852278,1
Joshua Kimmich,0.05950511847623958,2.7669090145510182,1
Juan Mata,3.1061694177659875,1.7780558535883182,1
Julian Draxler,2.1356733511642307,1.1867624470804996,1
Thomas Lemar,3.338133739751566,3.121127928942929,1
Ángel Di María,6.041358824243564,2.9152641646240727,1
Kevin De Bruyne,3.297543015302317,4.475020669981836,1
Arjen Robben,5.795698252381368,2.2237044927529697,1
Koke,0.22947098925028034,5.002679675831829,1
James Rodríguez,2.8545052069535366,5.2763817226477325,1
Kevin Kampl,1.1361875758512665,3.182404195383726,1
Lorenzo Insigne,3.7291796960312307,0.419443168165963,1
?lkay Gündo?an,1.603436364481073,3.551457253538651,1
Cesc Fàbregas,1.0673494838316113,5.881822244304233,1
Isco,3.8245115897861575,5.142139845105709,1
James Milner,1.3001316430151506,2.856961865030042,1
Mesut Özil,3.836084830835023,2.1079769125542156,1
Ljubomir Fejsa,-3.6625103019471754,-0.7558231606369367,2
Jorrit Hendrix,-1.5657948426505839,-1.39577800041825,2
Héctor Herrera,1.1338885050609586,0.4094303323626432,2
Juan Bernat,0.23382066905093127,-0.26989955757992196,2
Grzegorz Krychowiak,-3.2573633608598627,-0.17124481853846832,2
Filipe Luis,-1.6139184316208786,2.5616206252815363,2
Francis Coquelin,-2.4848487613284234,0.3777805273375968,2
Mário Fernandes,-1.9794662855230387,-0.8304539129671515,2
Gabriel Mercado,-3.163094389223462,-0.6678115706887068,2
Lucas Digne,-1.2475567024026413,-0.8075215045982845,2
Georgi Schennikov,-2.1704093866844265,-3.237099237025793,2
Georginio Wijnaldum,0.02957840915229397,-1.7808485145196093,2
Ismaily,1.1601866928421318,-0.5036149885134493,2
Maxi Pereira,-1.2077527659083622,-0.9982585710166825,2
Fernando,-1.9654978224224706,-0.4101729104528515,2
Adriano,-2.3238758820467997,-0.8077105193108682,2
Fabinho,-1.9138738556720631,1.465960713443073,2
Sergi Roberto,-1.5111776403079014,1.3901308285083034,2
Fernandinho,-2.035200274091032,1.4473212266593485,2
Sergio Escudero,-0.9108563429911842,1.263013517616465,2
Casemiro,-2.5239544146098427,1.809493549542836,2
Blaise Matuidi,-0.5947045166932011,-0.07902302443088753,2
Axel Witsel,-2.3654490407695725,1.1818800375023943,2
Atiba Hutchinson,-2.6032538732465533,-0.9993357660136987,2
Serge Aurier,-0.9683558514752227,-0.3684824716424457,2
Taulant Xhaka,-0.8934882104684726,-0.03119948429801136,2
Tiemoué Bakayoko,-0.21697486565295473,-0.05697032158108869,2
André Almeida,-2.127756400920729,-0.14489464638514435,2
Allan,-0.5693418927276176,2.6437329098355082,2
Alex Sandro,-1.0495232139931532,1.2601481051129737,2
Aleksandr Golovin,0.8392215424338983,1.3181520106199183,2
Alejandro Grimaldo,-0.39760127902677656,0.769987794193767,2
Adrien Rabiot,-1.5650132924397622,1.43823383268374,2
Thomas Partey,-0.5421247239715163,1.6610556865257111,2
Scott Brown,-3.5651163287232275,0.501859347322797,2
Joshua Brenet,-1.7970624348926767,-0.9707418908699529,2
Saúl Ñíguez,1.1770442161216947,-1.3014929147035463,2
Danilo,-3.270027144620371,1.4644313457088447,2
Elseid Hysaj,-2.55494264349838,-0.2908921510315597,2
Danilo Pereira,-2.3236675356840215,-0.8020244169337646,2
Moussa Sissoko,0.40247411055374976,0.3550493261552464,2
Nélson Semedo,-1.2180204334392544,0.05895951027629903,2
Rafael,-0.3099891656219889,0.7280784308895348,2
Djibril Sidibé,0.05696619815058325,0.7862839315927259,2
Pontus Wernbloom,-2.0719917405906703,-0.22360355722716913,2
Daniel Carvajal,-1.1291934103950465,1.6878681108210114,2
Luka Modri?,-0.9800078239731159,3.373160940768059,3
Nemanja Mati?,-4.553930062308981,1.784869302667864,3
Xabi Alonso,-2.4567261645378404,6.632497295733843,3
Óliver Torres,-0.7115069098545549,2.8591667481095273,3
Philipp Lahm,-1.8892368940937483,3.853795563099621,3
Toni Kroos,-1.139283755781633,7.018227657157572,3
Thiago Motta,-4.677361978298755,4.683820331539354,3
Marco Verratti,-1.9486447217660317,6.504211956317377,3
Julian Weigl,-3.974735764749858,3.4351240027977186,3
Thiago Alcántara,0.3527796593595872,6.552813708584267,3
Sven Kums,-1.852248641402014,3.137992804590297,3
Steven? N'Zonzi,-3.0666054834979803,1.7522117844222145,3
Rafinha,-3.4057658868421825,2.5643121017584782,3
Mahmoud Dahoud,-1.8636924462139377,2.04293793738974,3
Marek Hamšík,-0.5184394791541642,1.9740310995841126,3
Sergio Busquets,-3.7327254037686513,3.86571037040978,3
Yaya Touré,0.3434471339750149,2.824540118626955,3
Fred,-0.9185302275078195,3.1423943539410404,3
Harry Winks,-3.5923195252548434,2.0766817963583692,3
Andrés Iniesta,-0.039766230144198,5.340785393725654,3
Gabi,-2.0951905018466723,4.563011509958646,3
Javier Mascherano,-5.689847562255493,2.219604320000066,3
