name,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,final cluster
Adriano,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Pontus Wernbloom,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bacary Sagna,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ben Davies,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
César Azpilicueta,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Miguel Layún,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Michael Lang,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Maxi Pereira,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mário Fernandes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Davy Pröpper,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Rafael,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lucas Hernández,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Layvin Kurzawa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Djibril Sidibé,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Juanfran,1.0,0.0,4.777530886640757e-80,0.0,0.0,0.0,0.0,0.0,0.0,0
Eliseu,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Joshua Brenet,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jorrit Hendrix,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Faouzi Ghoulam,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ismaily,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Gabriel Mercado,1.0,0.0,5.673291843479006e-283,0.0,0.0,0.0,0.0,0.0,0.0,0
Lucas Digne,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ashley Young,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Daley Blind,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Georgi Schennikov,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alex Telles,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Taras Stepanenko,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
André Almeida,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alessandro Florenzi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Andrea Raggi,1.0,0.0,2.8059902638741805e-281,0.0,0.0,0.0,0.0,0.0,0.0,0
Andrew Robertson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Aleksandar Kolarov,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Serge Aurier,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Santiago Arias,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Trent Alexander-Arnold,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Gabi,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Joshua Kimmich,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Éver Banega,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Jordi Alba,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Kevin De Bruyne,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Kevin Kampl,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Kieran Trippier,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Koke,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Luka Modri?,0.0,1.0,1.20903497140952e-217,0.0,0.0,0.0,0.0,0.0,0.0,1
Pizzi,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Óliver Torres,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
James Rodríguez,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
David Silva,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Marek Hamšík,0.0,1.0,6.625e-321,0.0,0.0,0.0,0.0,0.0,0.0,1
Toni Kroos,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Dani Alves,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Isco,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Cesc Fàbregas,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Miralem Pjani?,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Andrés Iniesta,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Mario Götze,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
James Milner,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Corentin Tolisso,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Philipp Lahm,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
?lkay Gündo?an,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Héctor Herrera,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Ivan Rakiti?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Tiemoué Bakayoko,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
João Moutinho,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Jesús Navas,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Harry Winks,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Jordan Henderson,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Sami Khedira,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Juan Bernat,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Saúl Ñíguez,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Scott Brown,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Nélson Semedo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Moussa Sissoko,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Sergi Roberto,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Georginio Wijnaldum,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Sergio Escudero,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Marcelo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Marcel Schmelzer,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Mahmoud Dahoud,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
?ukasz Piszczek,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Sergiy Rybalka,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Rafinha,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Kyle Walker,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Taulant Xhaka,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Thomas Partey,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Steven? N'Zonzi,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Yaya Touré,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Axel Witsel,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Elseid Hysaj,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Fernando,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
David Alaba,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Atiba Hutchinson,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Filipe Luis,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Francis Coquelin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Daniel Carvajal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Danilo Pereira,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Allan,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Fred,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Fabinho,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Aleksandr Golovin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Alejandro Grimaldo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Adrien Rabiot,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Blaise Matuidi,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Alex Sandro,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Danilo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Marquinhos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Davinson Sánchez,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Medhi Benatia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Dejan Lovren,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Luisão,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Leonardo Bonucci,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Laurent Koscielny,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Daniele De Rossi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Chris Smalling,0.0,0.0,3.03582233626e-312,1.0,0.0,0.0,0.0,0.0,0.0,3
Gerard Piqué,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Naldo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Niklas Süle,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Ömer Toprak,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Konstantinos Manolas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Raphaël Varane,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Raúl Albiol,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Samuel Umtiti,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Sergey Ignashevich,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
