name,goals,bigChancesCreated,bigChancesMissed,assists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,goalConversionPercentage,penaltyConceded,goalsFromInsideTheBox,goalsFromOutsideTheBox,headedGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,dispossessed,wasFouled,fouls,dribbledPast,offsides,blockedShots,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,totalLongBalls,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses
Adriano,0.154772141,0.154772141,0.077386071,0,0.154772141,37.60963027,8.744625967,46.35425623,81.36909621,19.11435942,18.65004299,7.815993121,0.464316423,0.696474635,66.26984127,2.553740327,2.476354256,0.309544282,0,0.154772141,16.66666667,0.386930353,0.154772141,0.232158212,4.178847807,57.15925395,62.5,5.184866724,58.15120374,27.77777778,0,0.154772141,0,0,2.785898538,53.80140693,2.708512468,0.386930353,0.928632846,1.47033534,0.773860705,0.154772141,0,0.464316423,1.083404987,1.315563199,3.869303525,0.851246776,5.494411006,0,22.44196045,25.22785899
Adrien Rabiot,0.196078431,0.049019608,0.049019608,0.147058824,0.343137255,64.85294118,6.323529412,71.17647059,90.76184998,35.34313725,29.55882353,10.09803922,0.588235294,1.715686275,80.14880952,2.303921569,1.470588235,0.196078431,0,0.049019608,8.333333333,0.735294118,0.294117647,0.441176471,5.588235294,57.28935698,73.125,7.156862745,60.96210545,20.83333333,0,0.196078431,0,0.049019608,2.401960784,78.62933635,1.274509804,1.666666667,1.568627451,1.862745098,0.735294118,0,0.147058824,0.588235294,2.303921569,0.490196078,5.245098039,0.490196078,3.039215686,0,37.5,34.16666667
Alan Dzagoev,0.202398801,0.067466267,0.067466267,0,0.202398801,34.67766117,9.445277361,44.12293853,79.70315921,14.84257871,20.30734633,11.4017991,2.023988006,0.877061469,55.83333333,1.484257871,0.877061469,0.067466267,0,0.472263868,31.22294372,1.551724138,0.742128936,0.809595202,3.508245877,33.85838196,34.85119048,4.182908546,34.86729415,12.5,0,0.202398801,0,0,1.416791604,43.82183908,1.07946027,2.091454273,1.146926537,0.944527736,2.293853073,0.337331334,0,2.023988006,1.551724138,2.023988006,7.286356822,1.28185907,2.901049475,0,17.20389805,28.94302849
Alejandro Grimaldo,0.147420147,0.073710074,0,0,0.147420147,42.6044226,6.412776413,49.01719902,86.9947791,21.08108108,21.81818182,9.950859951,1.031941032,1.769041769,63.07692308,3.390663391,1.4004914,0.073710074,0,0.294840295,19.6011396,1.253071253,0.663390663,0.58968059,5.896805897,59.4994995,27.40740741,6.265356265,55.90903735,6.060606061,0,0.073710074,0.073710074,0.073710074,2.506142506,68.98395722,1.916461916,1.253071253,0.737100737,0.294840295,1.4004914,0,0.221130221,1.031941032,2.800982801,1.99017199,4.864864865,0.958230958,3.685503686,0,22.77641278,28.23095823
Aleksandar Kolarov,0.033682635,0.134730539,0,0.202095808,0.235778443,41.53068862,10.10479042,51.63547904,80.74376154,19.33383234,23.64520958,11.3510479,1.380988024,1.380988024,55.38194444,1.246257485,1.785179641,0.067365269,0,1.448353293,23.60255849,0.943113772,0.437874251,0.505239521,4.210329341,54.01560583,65.59199134,5.894461078,57.29468507,2.777777778,0.033682635,0.033682635,0,0,2.660928144,40.63138232,2.964071856,0.842065868,1.583083832,0.943113772,0.606287425,0.067365269,0.168413174,1.380988024,2.55988024,5.692365269,4.277694611,0.774700599,6.635479042,0,22.16317365,35.16467066
Aleksandr Golovin,0,0.070532915,0.141065831,0.141065831,0.141065831,36.04231975,7.970219436,44.01253918,76.70857339,14.38871473,21.86520376,12.48432602,1.269592476,1.551724138,46.40756303,3.103448276,2.186520376,0.211598746,0,0.211598746,32.5,0.9169279,0.423197492,0.493730408,5.78369906,44.86568214,63.49206349,6.489028213,49.6564482,0,0,0,0,0,1.833855799,42.21014493,0.493730408,2.327586207,1.340125392,2.257053292,2.609717868,0.141065831,0.070532915,1.269592476,2.539184953,1.128526646,8.746081505,0.705329154,3.456112853,0,16.78683386,28.35423197
Alessandro Florenzi,0.0456621,0.091324201,0.091324201,0.0456621,0.091324201,28.35616438,10.3196347,38.67579909,73.17101845,13.92694064,15.29680365,8.401826484,1.00456621,0.593607306,46.66666667,2.00913242,2.374429224,0.136986301,0,0.867579909,27.45098039,1.00456621,0.456621005,0.547945205,3.01369863,47.65977406,52.38095238,3.97260274,48.50539291,3.03030303,0.0456621,0,0.0456621,0,3.242009132,46.80443246,1.643835616,0.502283105,0.456621005,0.639269406,1.598173516,0.091324201,0.182648402,0.95890411,1.278538813,3.150684932,4.246575342,0.867579909,6.757990868,0,16.39269406,25.43378995
Alex Sandro,0,0.06232687,0,0.093490305,0.093490305,39.42174515,7.167590028,46.58933518,84.43116138,18.38642659,21.81440443,9.941135734,1.371191136,1.495844875,57.08892329,2.711218837,1.215373961,0.249307479,0,0.779085873,20.19239185,0.467451524,0.093490305,0.373961219,5.609418283,54.03774814,61.34287163,7.479224377,55.8214723,0,0.031163435,0,0,0,2.493074792,58.11154142,1.682825485,0.841412742,1.402354571,1.900969529,1.059556787,0,0.373961219,1.340027701,2.617728532,3.677285319,6.014542936,1.215373961,4.051246537,0,20.72368421,29.54293629
Alex Telles,0.084626234,0.084626234,0.042313117,0.253878702,0.338504937,29.28067701,9.055007052,38.33568406,76.52659026,13.70944993,18.23695346,8.547249647,1.904090268,0.592383639,90,1.354019746,2.115655853,0.084626234,0.042313117,2.665726375,33.90303925,0.423131171,0.211565585,0.211565585,2.45416079,49.618482,55.07246377,3.935119887,51.53439153,38.0952381,0.042313117,0.042313117,0.042313117,0,1.946403385,38.00050312,2.665726375,0.507757405,0.550070522,1.057827927,0.761636107,0.084626234,0.296191819,1.861777151,0.71932299,7.997179126,3.596614951,1.184767278,4.992947814,0.042313117,16.50211566,29.83074753
Alexis Sánchez,0.325105358,0.270921132,0.325105358,0.433473811,0.758579169,30.34316677,8.886213125,39.22937989,76.87494778,6.12281758,24.97892836,15.87597833,2.38410596,4.063816978,60.74112022,1.571342565,1.137868754,0.216736905,0,0.758579169,47.73351648,1.300421433,0.812763396,0.487658037,8.452739314,49.78349916,52.42424242,9.428055388,49.61232377,13.06818182,0,0.325105358,0,0.054184226,1.896447923,62.91666667,0.162552679,3.251053582,2.871763998,1.083684527,1.19205298,0.487658037,0.108368453,2.275737508,6.014449127,2.221553281,8.669476219,1.300421433,3.034316677,0,7.31487056,34.13606261
